"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Project admin should not be able to create build type for not their project","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest"
"","3","User should be able to start build (with WireMock)","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.StartBuildTest","Surefire test","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest"
"","77491","setupTeamCityServerTest","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","2","Build type should be started successfully with a echo 'Hello, world!'","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","startBuildTypeWithAMessage"
"","0","User should not be able to create two build types with the same id","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest"
"","0","User should be able to create build type","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","5","setUpServerAuthSettings","Surefire suite","2026-07-30","broken","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","setUpServerAuthSettings"
"","0","cleanUpServerAuthSettings","Surefire suite","2026-07-30","failed","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","cleanUpServerAuthSettings"
"","0","Project admin should be able to create build type for their project","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","0","User should be able to find a project by its name","Surefire suite","2026-07-30","skipped","2026-07-30","com.example.teamcity.api.SearchProjectTest","Surefire test","com.example.teamcity.api.SearchProjectTest","userSearchProjectByNameTest"
